URL,Size,Outlinks,Content-Type
http://cinema.usc.edu/news/article.cfm?id=14815,23199,78,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=15100,28508,85,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=15225,24168,78,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=15104,25131,79,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=15348,23704,79,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=15108,29113,81,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14810,23233,78,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14801,26529,78,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14925,26806,80,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14805,24958,80,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14927,22352,79,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14928,26261,78,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=15211,28029,79,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=15334,26035,79,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=15213,29172,79,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=15338,27544,85,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14916,23313,78,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14917,22556,79,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14919,23628,78,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=15326,31233,80,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14900,29826,79,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14902,23962,78,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14907,32810,79,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14908,21670,79,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=13145,27632,81,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14235,26611,80,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14223,23682,77,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14224,24796,80,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14225,24896,79,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=13136,24325,79,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=13137,25038,78,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14051,24450,79,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14281,25157,78,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=13195,23799,80,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14286,28686,81,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14045,23728,79,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14271,24772,79,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14030,26209,78,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14031,24143,77,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=13184,28739,98,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=13185,24697,79,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14036,22254,78,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=13170,25966,79,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14260,25192,78,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14264,21334,78,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14026,21692,78,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14029,32310,80,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=12912,35934,82,text/html;charset=UTF-8
http://cinema.usc.edu/news/article.cfm?id=14090,24882,77,text/html;charset=UTF-8
http://cinema.usc.edu/admissions/studentstories/view.cfm?id=14318,24321,78,text/html;charset=UTF-8
http://cinema.usc.edu/interactive/faculty.cfm,51154,128,text/html;charset=UTF-8
http://cinema.usc.edu/faculty/index.cfm,23039,66,text/html;charset=UTF-8
http://cinema.usc.edu/directories/index.cfm,17120,66,text/html;charset=UTF-8
http://cinema.usc.edu/summer/classes.cfm?s=m,20366,78,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=50&first&id=33695&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,19861,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=50&first&id=6443&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,20689,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=50&first&id=40770&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,20142,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/faculty.cfm?did=50&first&last&referer=%2Fdirectories%2Ffaculty.cfm&startRow=331&title,29823,87,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=50&first&id=6453&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,18852,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=50&first&id=6455&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,20319,71,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=50&first&id=41118&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,18246,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=50&first&id=12478&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,19589,75,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=50&first&id=24597&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,18900,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/faculty.cfm?did=50&first&last&referer=%2Fdirectories%2Ffaculty.cfm&startRow=91&title,56569,138,text/html;charset=UTF-8
